category,cisco_product,splunk_addon,splunk_platform,link,documentation,description,comments
Networking,Cisco Secure Firewall ASA,Splunk Add-on for Cisco Meraki,Splunk Cloud ,https://splunkbase.splunk.com/app/5580,https://docs.splunk.com/Documentation/AddOns/released/Meraki/AboutAddon,"The Splunk Add-on for Cisco Meraki lets you monitor network and security events in your environment. The the Splunk Add-on for Cisco Meraki can collect the following data via the Cisco Meraki REST APIs: Configuration changes Organization security events Events from devices (such as access points, cameras, switches and security appliances)

The Splunk Add-on for Cisco Meraki provides the inputs and CIM-compatible knowledge to use with other Splunk apps, such as Splunk Enterprise Security and the Splunk App for PCI Compliance.",
Networking,Cisco Secure Firewall ASA,Cisco Meraki Dashboard Connector,SOAR,https://splunkbase.splunk.com/app/6086,https://github.com/splunk-soar-connectors/meraki,"This app interfaces with the Cisco Meraki cloud managed devices. The search string specified is used to match a value in the client MAC address or description field. The default dashboard URL is dashboard.meraki.com. 
The API Key is generated in your account profile. An account with read only privileges is acceptable.",Archived
Networking,Cisco Catalyst Switches,Cisco Catalyst Connector,SOAR,https://splunkbase.splunk.com/app/5884,https://github.com/splunk-soar-connectors/ciscocatalyst,This app supports containment actions like 'set system vlan' in addition to investigative actions like 'get config' and 'get version' on a Cisco Catalyst switch.,Archived
Security,Cisco Secure Web Appliance,Splunk Add-on for Cisco WSA,Splunk Cloud ,https://splunkbase.splunk.com/app/1747,https://docs.splunk.com/Documentation/AddOns/released/CiscoWSA/About,"The Splunk Add-on for Cisco WSA allows a Splunk software administrator to collect access and L4TM log data from Cisco Web Security Appliances (WSA) (formerly known as IronPort AsyncOS for Web). 
You can analyze these logs directly or use them as a contextual data source to correlate with other communication and authentication data in the Splunk platform.",
Security,Cisco Secure Firewall ASA,Splunk Add-on for Cisco ASA,Splunk Cloud ,https://splunkbase.splunk.com/app/1620,https://docs.splunk.com/Documentation/AddOns/released/CiscoASA/Description,"The Splunk Add-on for Cisco ASA allows a Splunk software administrator to map Cisco ASA data to create CIM-compatible knowledge to use with other Splunk apps, such as Splunk Enterprise Security and the Splunk App for PCI Compliance.",
Security,Cisco Secure Firewall ASA,Cisco ASA Connector,SOAR,https://splunkbase.splunk.com/app/5778,https://github.com/splunk-soar-connectors/ciscoasa,This app supports containment actions in addition to investigative actions on a Cisco ASA device,Archived
Security,Cisco Identity Services Engine,Splunk Add-on for Cisco Identity Services,Splunk Cloud ,https://splunkbase.splunk.com/app/1915,https://docs.splunk.com/Documentation/AddOns/released/CiscoISE/About,The Splunk Add-on for Cisco ISE allows a Splunk software administrator to collect Cisco Identity Service Engine (ISE) syslog data.,
Security,Cisco Identity Services Engine,Cisco ISE Connector,SOAR,https://splunkbase.splunk.com/app/5885,https://github.com/splunk-soar-connectors/ciscoise,This app implements investigative and containment actions on a Cisco ISE device,
Security,Cisco Secure Email Gateway,Splunk Add-on for Cisco ESA,Splunk Cloud ,https://splunkbase.splunk.com/app/1761,https://docs.splunk.com/Documentation/AddOns/released/CiscoESA/About,"The Splunk Add-on for Cisco ESA allows the Splunk software administrator to leverage Textmail, HTTP, Consolidated Event Logs, AMP, Delivery, Bounce, and Authentication logs of Cisco ESA. ",
Security,Cisco Secure Email Gateway,Cisco ESA Connector,SOAR,https://splunkbase.splunk.com/app/5779,https://github.com/splunk-soar-connectors/ciscoesa,This app supports investigation on the Cisco Email Security Appliance (ESA) device,
Security,Cisco Umbrella,Cisco Umbrella Connector,SOAR,https://splunkbase.splunk.com/app/5887,https://github.com/splunk-soar-connectors/ciscoumbrella,This app allows management of a domain list on the Cisco Umbrella Security platform,
Security,Cisco Umbrella Investigate,Cisco Umbrella Investigate Connector,SOAR,https://splunkbase.splunk.com/app/5780,https://github.com/splunk-soar-connectors/ciscoumbrellainvestigate,This app implements investigative actions by querying the Cisco Umbrella Investigate cloud service,
Security,Cisco Threat Response,Cisco Threat Response Connector,SOAR,https://splunkbase.splunk.com/app/5997,https://github.com/splunk-soar-connectors/ciscothreatresponse,Cisco SecureX Threat Response app for Phantom provides actions allowing users to query Cisco SecureX Threat Response for verdicts and context on observables within a Phantom instance,Archived
Security,Cisco Secure Firewall,Cisco Firepower Connector,SOAR,https://splunkbase.splunk.com/app/5995,https://github.com/splunk-soar-connectors/wwt_cisco_firepower,"This app interfaces with Cisco Firepower devices to add or remove IPs or networks to a Firepower Network Group Object, which is configured with an ACL",
Security,Cisco Tetration Platform,Cisco Tetration Analytics Connector,SOAR,https://splunkbase.splunk.com/app/5996,https://github.com/splunk-soar-connectors/ciscotetrationanalytics,This app supports variety of investigative actions on Cisco Tetration Analytics,
Collaboration,Cisco Webex,Cisco Webex Meetings Add-on for Splunk,Splunk Cloud ,https://splunkbase.splunk.com/app/4991,https://github.com/splunk/ta-cisco-webex-meetings-add-on-for-splunk/blob/master/README.md,Cisco WebEx Meetings Add-on for Splunk uses Cisco's WebEx Meetings XML API to fetch data and ingest it into Splunk. The Add-on supports retrieving data from multiple API endpoints for Cisco WebEx meetings.,Archived
Collaboration,Cisco Webex,Cisco Webex Connector,SOAR,https://splunkbase.splunk.com/app/5781,https://github.com/splunk-soar-connectors/ciscowebex,This app integrates with Cisco Webex to implement investigative and genric actions,
Collaboration,Cisco Spark,Cisco Spark Connector,SOAR,https://splunkbase.splunk.com/app/5886,https://github.com/splunk-soar-connectors/ciscospark,Integrate with Cisco Spark to implement investigative actions,This app is now deprecated. Please use the Cisco Webex App (https://splunkbase.splunk.com/app/5781/) as a replacement. Integrate with Cisco Spark to implement investigative actions
Application Performance,Cisco AppDynamics,Splunk Add-on for AppDynamics,Splunk Cloud ,https://splunkbase.splunk.com/app/3471,https://github.com/splunk/splunk_TA_AppDynamics/tree/master,The Splunk Add-on for AppDynamics enables you to easily configure data inputs to pull data from AppDynamics' REST APIs. ,